manager,total_positions,avg_position_size,max_position_size,position_concentration,position_variance,small_positions_pct,medium_positions_pct,large_positions_pct,sizing_efficiency_score,total_portfolio_value,historical_activities,sizing_style,_analysis_type,_generated,_periods,_window_quarters
Charles Bobrinskoy,27,3.703703703703704,5.91,14.814814814814811,1.5182432868492053,18.51851851851852,66.66666666666666,14.814814814814811,90,74766000,1000,Balanced,position_sizing_mastery,2026-02-23,Q4 2025,1
Mason Hawkins,19,5.262105263157895,7.37,52.63157894736842,1.4685350937711454,0.0,47.368421052631575,52.63157894736842,80,959622000,802,Systematic,position_sizing_mastery,2026-02-23,Q4 2025,1
Bill Nygren,26,3.846153846153847,7.03,30.76923076923077,1.8062426789843649,15.384615384615383,53.84615384615385,30.76923076923077,80,7188372000,1000,High Conviction,position_sizing_mastery,2026-02-23,Q4 2025,1
Stephen Mandel,32,3.125,6.81,15.625,1.9417484638269171,25.0,59.375,15.625,75,13611137000,1000,Balanced,position_sizing_mastery,2026-02-23,Q4 2025,1
Alex Roepers,10,9.998,18.63,80.0,4.515776788106338,0.0,20.0,80.0,70,177625000,911,Concentrated,position_sizing_mastery,2026-02-23,Q4 2025,1
ValueAct Capital,16,6.249375,11.29,50.0,3.8794337537841774,18.75,31.25,50.0,65,7025027000,632,Concentrated,position_sizing_mastery,2026-02-23,Q4 2025,1
David Rolfe,21,4.76095238095238,10.48,38.095238095238095,2.5305669419359464,4.761904761904762,57.14285714285714,38.095238095238095,65,535492000,1000,High Conviction,position_sizing_mastery,2026-02-23,Q4 2025,1
John Armitage,23,4.346956521739131,14.78,30.434782608695656,3.509185912822373,17.391304347826086,52.17391304347826,30.434782608695656,65,9200431000,891,High Conviction,position_sizing_mastery,2026-02-23,Q4 2025,1
Richard Pzena,33,3.0309090909090908,5.12,9.090909090909092,1.1528724008871374,15.151515151515152,75.75757575757575,9.090909090909092,65,542162000,1000,Balanced,position_sizing_mastery,2026-02-23,Q4 2025,1
Seth Klarman,22,4.545454545454545,10.44,40.909090909090914,2.9783116458390078,13.636363636363637,45.45454545454545,40.909090909090914,65,5278590000,1000,Concentrated,position_sizing_mastery,2026-02-23,Q4 2025,1
AKO Capital,22,4.545909090909091,10.2,45.45454545454545,2.570002147656892,13.636363636363637,40.909090909090914,45.45454545454545,65,6568399000,704,Concentrated,position_sizing_mastery,2026-02-23,Q4 2025,1
Bill & Melinda Gates Foundation Trust,23,4.3478260869565215,27.59,21.73913043478261,7.163197582416884,65.21739130434783,13.043478260869565,21.73913043478261,55,35360094000,642,Balanced,position_sizing_mastery,2026-02-23,Q4 2025,1
Bruce Berkowitz,15,6.666666666666667,80.43,13.333333333333334,20.64030234643817,80.0,6.666666666666667,13.333333333333334,55,1433640000,834,Balanced,position_sizing_mastery,2026-02-23,Q4 2025,1
Harry Burn,37,2.702702702702702,4.32,0.0,0.760163171988783,10.81081081081081,89.1891891891892,0.0,55,3142599000,1000,Systematic,position_sizing_mastery,2026-02-23,Q4 2025,1
John Rogers,41,2.4390243902439024,3.59,0.0,0.6635201763249132,24.390243902439025,75.60975609756098,0.0,55,884319000,1000,Systematic,position_sizing_mastery,2026-02-23,Q4 2025,1
Hillman Value Fund,39,2.5643589743589743,3.26,0.0,0.2248367228831071,0.0,100.0,0.0,55,94775000,1000,Systematic,position_sizing_mastery,2026-02-23,Q4 2025,1
Francis Chou,28,3.5710714285714285,32.21,25.0,6.368057055442867,60.71428571428571,14.285714285714285,25.0,55,201554000,268,Balanced,position_sizing_mastery,2026-02-23,Q4 2025,1
Triple Frond Partners,12,8.334166666666667,17.72,66.66666666666666,4.824416042539776,0.0,33.33333333333333,66.66666666666666,55,962175000,201,Concentrated,position_sizing_mastery,2026-02-23,Q4 2025,1
Prem Watsa,29,3.448620689655172,20.33,27.58620689655172,4.856327774988841,62.06896551724138,10.344827586206897,27.58620689655172,55,2083409000,1000,Balanced,position_sizing_mastery,2026-02-23,Q4 2025,1
Josh Tarasoff,8,12.50125,21.31,87.5,5.768818738949694,0.0,12.5,87.5,55,342655000,234,Concentrated,position_sizing_mastery,2026-02-23,Q4 2025,1
Greenhaven Associates,30,3.333666666666667,20.01,20.0,5.186954779546229,56.66666666666666,23.33333333333333,20.0,55,6170052000,589,Balanced,position_sizing_mastery,2026-02-23,Q4 2025,1
Dennis Hong,11,9.091818181818182,14.38,100.0,3.2736365656004582,0.0,0.0,100.0,50,531108000,198,Concentrated,position_sizing_mastery,2026-02-23,Q4 2025,1
Francois Rochon,50,2.0004000000000004,8.48,12.0,2.3355827485897827,62.0,26.0,12.0,45,2997771000,1000,Diversified,position_sizing_mastery,2026-02-23,Q4 2025,1
Terry Smith,37,2.7032432432432434,7.9,27.027027027027028,2.741630753618946,51.35135135135135,21.62162162162162,27.027027027027028,45,17116089000,1000,Diversified,position_sizing_mastery,2026-02-23,Q4 2025,1
Henry Ellenbogen,40,2.5,9.95,15.0,2.151395492256727,52.5,32.5,15.0,45,10568040000,582,Diversified,position_sizing_mastery,2026-02-23,Q4 2025,1
Daniel Loeb,42,2.38047619047619,7.59,11.904761904761903,2.1572509068323598,50.0,38.095238095238095,11.904761904761903,45,7258600000,1000,Diversified,position_sizing_mastery,2026-02-23,Q4 2025,1
Christopher Bloomstran,39,2.564615384615385,14.41,20.51282051282051,3.859590819704412,66.66666666666666,12.82051282051282,20.51282051282051,45,869556000,728,Diversified,position_sizing_mastery,2026-02-23,Q4 2025,1
Chuck Akre,18,5.554999999999999,18.81,55.55555555555556,5.443527457124708,33.33333333333333,11.11111111111111,55.55555555555556,45,9120743000,1000,Concentrated,position_sizing_mastery,2026-02-23,Q4 2025,1
Wallace Weitz,44,2.272727272727273,8.55,11.363636363636363,2.0791359605602318,56.81818181818182,31.818181818181817,11.363636363636363,45,1686582000,337,Diversified,position_sizing_mastery,2026-02-23,Q4 2025,1
Lindsell Train,28,3.571428571428572,16.58,32.142857142857146,5.036652852606774,64.28571428571429,3.571428571428571,32.142857142857146,45,3943393000,371,High Conviction,position_sizing_mastery,2026-02-23,Q4 2025,1
Ruane Cunniff,25,3.999599999999999,18.19,32.0,3.856029348090252,36.0,32.0,32.0,45,3686819000,1000,High Conviction,position_sizing_mastery,2026-02-23,Q4 2025,1
Warren Buffett,42,2.381666666666667,22.6,11.904761904761903,5.008947563216939,76.19047619047619,11.904761904761903,11.904761904761903,45,274160088000,1000,Diversified,position_sizing_mastery,2026-02-23,Q4 2025,1
Bill Miller,34,2.941764705882353,11.53,17.647058823529413,2.497388297120687,47.05882352941176,35.294117647058826,17.647058823529413,45,283836000,1000,Diversified,position_sizing_mastery,2026-02-23,Q4 2025,1
Duan Yongping,14,7.144285714285714,50.3,28.57142857142857,13.5658863524457,35.714285714285715,35.714285714285715,28.57142857142857,45,17488572000,111,Balanced,position_sizing_mastery,2026-02-23,Q4 2025,1
Glenn Greenberg,33,3.0309090909090908,12.25,33.33333333333333,3.776994807082381,54.54545454545454,12.12121212121212,33.33333333333333,45,4268782000,1000,High Conviction,position_sizing_mastery,2026-02-23,Q4 2025,1
David Tepper,38,2.632631578947368,10.99,15.789473684210526,2.4248551745112934,52.63157894736842,31.57894736842105,15.789473684210526,45,6853672000,1000,Diversified,position_sizing_mastery,2026-02-23,Q4 2025,1
Leon Cooperman,40,2.4995000000000003,13.5,15.0,3.023876735718656,62.5,22.5,15.0,45,3014011000,1000,Diversified,position_sizing_mastery,2026-02-23,Q4 2025,1
Greg Alexander,5,20.0,37.04,60.0,15.705954284920097,0.0,40.0,60.0,40,603603000,135,Concentrated,position_sizing_mastery,2026-02-23,Q4 2025,1
Samantha McLemore,40,2.5,7.03,7.5,1.7695675264790631,42.5,50.0,7.5,40,2590708000,624,Diversified,position_sizing_mastery,2026-02-23,Q4 2025,1
AltaRock Partners,8,12.50125,33.1,62.5,11.958135828798737,12.5,25.0,62.5,40,5100068000,169,Concentrated,position_sizing_mastery,2026-02-23,Q4 2025,1
